teamID,teamName,teamTrack,region,country,schools,kind,title,abstract,year
1319,Aachen,Measurement,europe,Germany,RWTH Aachen University,collegiate,Cellock Holmes - a novel SynBio platform to detect pathogens,"Detection and identification of microbial contaminations on hard surfaces are vital to reduce the incidence of nosocomial infections and to alleviate the pressure on health care systems. Existing techniques pose limitations, as they do not combine effective, economical and rapid detection. The Cellock Holmes project aims to tackle these challenges all at once. By combining native microbial sensing systems, such as quorum sensing, with open source biology, hardware and software, a novel two-dimensional biosensor is developed. Cellock HolmesÂ’ simple, modular and open design enables the end user to test solid surfaces for microbial contamination without any expensive equipment or highly trained personnel. The working concept is demonstrated using one of the most prevalent human pathogens, <i>Pseudomonas aeruginosa</i>. The versatile biosensing system, however, can be easily customized to detect other pathogens as well.  ",2014
1585,Aachen,Manufacturing,europe,Germany,RWTH Aachen University,collegiate,Upcycling Methanol into a Universal Carbon Source,"Nowadays, mankind uses 94 million barrels of oil per day. But as agreed on by various nations, we have to become independent from fossil resources during the next decades. As a consequence, not only fuels, but many other products including drugs, fine chemicals and plastic will have to be produced from renewable carbon sources. In parallel, we observe arable land per capita shrinking and more frequent droughts. But even by increasing agricultural productivity, plants will not be able to meet our massive demands. Therefore, we are developing an alternative route to sustainably produce complex carbon which significantly reduces the space and water needs. By using new synthetic pathways, we are upcycling a simple, renewable chemical into a universal carbon source. ",2015
2225,Aachen,Environment,europe,Germany,"RWTH Aachen University
Aachen, North Rhine-Westphalia, Germany
http://igem.rwth-aachen.de",collegiate,Salt Vault,"Decreasing fresh water availability is not only a problem for desert climate regions like North-Africa and the Middle East, but also for European countries like Germany or the Netherlands, where water pollution is mainly caused by industry.
We are modifying the genome of Saccharomyces cerevisiae to increase the uptake of various ions into the cell and store these inside its vacuole. This will be achieved by upregulation of native (vacuolar) ion importers and knock-out of ion exporters. Furthermore, we are expressing heterologous genes from the plant Arabidopsis thaliana in yeast to improve vacuolar ion accumulation, thus creating a microbial dustbin.
With this newly generated library of genetically engineered yeasts, we hope to offer a novel way of treating water contaminated by industrial processes and store pollutants in our intracellular reservoir, the Salt Vault. Then this concept can be employed by industries facing problems with high pollution in their process water.",2017
3013,Aachen,Environment,europe,Germany,"RWTH Aachen University 
https://www.rwth-aachen.de
",collegiate,Plastractor - extracting microplastics from fluids via magnets,"Nowadays the problem of microplastics in fluids like drinkable water is a huge topic with a lot of new publications and studies about the amount, types and risks of it for animals, environment and humans. The ""Plastractor"" is a device which shall extract microplastics from fluids easily via magnets. Therefore the bacterium Rhodospirillum rubrum ""magneticum"" was obtained. It is genetically modified to build magnetosomes; small magnetic and vesicle-like particles, with plastic binding peptides on its membrane. For modification we use E. coli BW29427 which transfers the needed plasmid to Rhodospirillum rubrum ""magneticum"" via conjugation. Two different plastic binding peptides are used, ""Tachystatin A2"" (TA2) and ""liquid chromatography peak I"" (LCI), fused with two different fluorescent proteins to enable the detection of the bound particles. Thus the device will be able to extract the plastics that are bound to magnetosomes and detect it by fluorescence.
",2019
3456,Aachen,Foundational Advance,europe,Germany,"RWTH Aachen University
Aachen, NRW, Germany
https://www.rwth-aachen.de
",collegiate,M.A.R.S. - Magnetic ATP Recycling System,"The complex regeneration of biochemical energy sources represents a cost-intensive hurdle for many production and research processes. With M.A.R.S., we want to establish an innovative strategy to create light-powered, mitochondrion-like protocells and a bioreactor that will recycle those cells by magnetism. Through the design of our reusable recycling system it will be able to power every ATP-driven enzyme cascade, making M.A.R.S. universally applicable. By extracting bacteriorhodopsin out of Halobacterium salinarum, a phototrophic archaea species, and combining it with an ATP synthase from Saccharomyces cerevisiae in self-produced polymersomes and liposomes, we get simple but effective chassis, which make it possible to cover the energy requirement of any enzyme reaction cascade. Binding those chassis to magnet particles via anchor peptides enables the reuse of the entire protocell system within the reactor by means of magnetic purification, whereby they can be fed directly into enzyme cascades, without depending on living cells.",2020
3774,Aachen,Foundational Advance,europe,Germany,"RWTH Aachen University
Aachen, NRW, Germany
https://www.rwth-aachen.de",collegiate,Enzyme-based semi-specific DNA synthesis for long-term data storage ,"In the last few years,&#8239;DNA&#8239;sequencing has developed rapidly while DNA synthesis still relies on the decades-old&#8239;chemical phosphoramidite system. However, this process is toxic and has already reached its limit at around 200 bases. Thus, the demand for more environmentally friendly and effective novel approaches is evident. In this project, we report an enzymatic ssDNA synthesis system with terminal deoxynucleotidyl transferase (TdT). In each synthesis cycle, an unspecific number of nucleotides is incorporated. Our unique automated hardware can selectively attach nucleotides to immobilized primers in order to synthesize preset DNA sequences. We present a ternary system to encode and recover the information stored on DNA. This system enables the semi-specific approach, in which information is saved only in the transitions between bases, therefore specific synthesis is not necessary. This opens up a much more approachable and robust system that even allows adding proof-reading properties.",2021
4138,Aachen,Environment,europe,Germany,"RWTH Aachen University
Aachen, Germany
www.rwth-aachen.de",collegiate,MEtaPhos - Modified Enzymes targeting Phosphate-recycling,"Phosphorous is an essential element of life. Regarding the decreasing rate of phosphate mining and the waste of phosphate in wastewater, there will soon not be enough to sustain a civilization of ten billion people. Up until now, there is no efficient solution to regain phosphate from wastewater. If humanity fails to recycle phosphate, we will have a wide range of challenges. One problem is the pollution of soils and water with high amounts of phosphate from agricultural and industrial waste. Furthermore, the need for phosphate fertilizers will only grow as the earthÂ’s population grows. MEtaPhos aims to revolutionize the phosphate cycle by fusing a phosphate-binding protein with a molecular optogenetic switch. By blue light irradiation, we can control the binding and release of phosphate in a highly specific manner. Our goal is to recycle phosphate from wastewater and generate polyphosphate to be reused in the industry.
",2022
4744,Aachen,Bioremediation,europe,Germany,"RWTH Aachen University
Aachen, North Rhine-Westphalia, Germany
https://www.rwth-aachen.de",collegiate,RareCycle - Fungi-Powered Recycling of Rare-Earth Elements from E-Waste for Everyone,"Our world is becoming increasingly technologized, yet less than 18% of our electronic waste is properly recycled. This leads to the loss of valuable resources like Rare-Earth Elements that are crucial for sustainable technology. With RareCycle, we harness the power of synthetic biology to reduce wastage, replace harmful mining practices and remediate dumping sites! We model, produce, and study specialized metal-binding peptides capable of selectively capturing Rare-Earth ions from bioleached e-waste. We develop fungal mycelium as a sustainable and adaptable biofilter material by expressing these peptides on the fungal surface. We design, build and test a combined bioreactor and metal extraction apparatus, optimized to cultivate and deploy the fungi. Our mission is to provide cost-effective and easily reproducible technology, enabling every community worldwide to recycle their own e-waste. Collaborating with industry and NGOs, we aim to advance the Sustainable Development Goals - generating meaningful employment and promoting responsible consumer practices.",2023
1443,Aalto-Helsinki,Entrepreneurship,europe,Finland,"Aalto University, Espoo, Finland
www.aalto.fi
",collegiate,Aalto-Helsinki Bioworks - A Synthetic Biology Startup with a Three-Channel Gene Switch,"We have engineered a three-channel switch that is controlled with the intensity of blue light. By utilizing the mechanisms of the lambda repressor, we are able to switch between the expressions of three different genes with a short delay. This kind of mechanism provides a nearly real-time control over genes, which could provide advantages in variety of industrial bioprocesses.

Inspired by the principles of open source software, we introduce an Open Sequence business model implemented around our switch. We want to encourage future companies to create Open Sequence based solutions and to empower customers to participate in the product development. Open Sequence modelÂ’s transparency as well as lower degree of protection raises trust and continuity and benefits larger community.

We want to share our experiences and insights in biotech entrepreneurship and address the difficulties that students and newcomers may face in the early stages of building a synthetic biology startup.
",2014
1655,Aalto-Helsinki,Energy,europe,Finland,"Aalto University, Espoo, Finland
University of Helsinki, Helsinki, Finland",collegiate,Fuel for the Future: E. coli producing renewable propane from cellulose,"Climate change is argued to be one of the greatest challenges faced by mankind. Its primary cause is believed to be man-made CO2 emissions from transportation and electricity production. To tackle the issue of transportation emissions, we want to produce sustainable propane in Escherichia coli using cellulosic feedstock. The pathway is a patchwork of 10 different enzymes from different organisms, such as Mycobacterium marinum and Bacillus subtilis. We built a model of the pathway to identify its bottlenecks and concentrate our engineering efforts on them. To elevate our propane from a food crop -based  first generation biofuel to the second generation, we are integrating a secretion system for cellulose hydrolysing enzymes. To innovatively enhance our production system, we are bringing the two final enzymes of our pathway into close proximity by fusing them with micelle-forming amphiphilic proteins. This increases theoretical yield, bringing us one step closer to commercially viable biopropane.",2015
